# Smoothed out versions of the total pion-nucleon cross section used in Rein-Seghal coherent pi0
# production xsec: D.Rein and L.M.Seghal,Nucl.Phys.B223:29-144 (1983).
# The data used here are coming from CERN-HERA 79-01, 1979, 
#'Compilation of cross sections I - pi- and pi+ induced reactions'
#
# Tpi (MeV)  sigpi_total (mb)	
0.          0.
1.75952E+0  3.19531E-1
1.58254E+1  1.59578E+0
2.98913E+1  2.87204E+0
4.22054E+1  4.78876E+0
4.92589E+1  7.98688E+0
5.80668E+1  1.08645E+1
6.33608E+1  1.37431E+1
7.21765E+1  1.75808E+1
7.92326E+1  2.10989E+1
8.45343E+1  2.49375E+1
8.98334E+1  2.84561E+1
9.51300E+1  3.16547E+1
9.86671E+1  3.45338E+1
1.03964E+2  3.77324E+1
1.05746E+2  4.09319E+1
1.09289E+2  4.44510E+1
1.11074E+2  4.79705E+1
1.14621E+2  5.21295E+1
1.16411E+2  5.62891E+1
1.19961E+2  6.07681E+1
1.23509E+2  6.49272E+1
1.28813E+2  6.90858E+1
1.34133E+2  7.51644E+1
1.39453E+2  8.12430E+1
1.43015E+2  8.73221E+1
1.46565E+2  9.18011E+1
1.50113E+2  9.59602E+1
1.51898E+2  9.94797E+1
1.55453E+2  1.04599E+2
1.57243E+2  1.08758E+2
1.64297E+2  1.11956E+2
1.71337E+2  1.13555E+2
1.80122E+2  1.13552E+2
1.87137E+2  1.11950E+2
1.90623E+2  1.08429E+2
1.94103E+2  1.04268E+2
1.95829E+2  1.00428E+2
1.99315E+2  9.69071E+1
2.01031E+2  9.17866E+1
2.02752E+2  8.73061E+1
2.06232E+2  8.31452E+1
2.11464E+2  7.83438E+1
2.14940E+2  7.35428E+1
2.18410E+2  6.81019E+1
2.25371E+2  5.97800E+1
2.34083E+2  5.08177E+1
2.46331E+2  4.44144E+1
2.56811E+2  3.67316E+1
2.67309E+2  3.12888E+1
2.76062E+2  2.74464E+1
2.91857E+2  2.52022E+1
3.09421E+2  2.45575E+1
3.28745E+2  2.42324E+1
3.55100E+2  2.42254E+1
3.81462E+2  2.51783E+1
4.13092E+2  2.58099E+1
4.39449E+2  2.61229E+1
4.69325E+2  2.70749E+1
4.99200E+2  2.80269E+1
5.29079E+2  2.92990E+1
5.51945E+2  3.24929E+1
5.62510E+2  3.53701E+1
5.76589E+2  3.82463E+1
5.94174E+2  4.01616E+1
6.15249E+2  3.91960E+1
6.25768E+2  3.63132E+1
6.43312E+2  3.31085E+1
6.62620E+2  3.08634E+1
6.80179E+2  2.95787E+1
6.99498E+2  2.86135E+1
7.29366E+2  2.86056E+1
7.50470E+2  3.11599E+1
7.68070E+2  3.49953E+1
7.82160E+2  3.91515E+1
7.94484E+2  4.23482E+1
8.05056E+2  4.61854E+1
8.24411E+2  4.97003E+1
8.49034E+2  5.28937E+1
8.71890E+2  5.48076E+1
8.98252E+2  5.57606E+1
9.14049E+2  5.38364E+1
9.28082E+2  5.09526E+1
9.36833E+2  4.67903E+1
9.49101E+2  4.29470E+1
9.61376E+2  4.00637E+1
9.78923E+2  3.71790E+1
1.02106E+3  3.33278E+1
1.05091E+3  3.17198E+1
1.08078E+3  3.17119E+1
1.11241E+3  3.26634E+1
1.14580E+3  3.36145E+1
1.17743E+3  3.39261E+1
1.21257E+3  3.42367E+1
1.24947E+3  3.48669E+1
1.28989E+3  3.51761E+1
