#KE	XS	sig
1.0	0.0	0.0
4.0	5.1	0.0
20.0	41.2	0.0
50.0	95.5	0.0
85.0	109.0	20.0
125.0	166.0	26.0
165.0	194.0	36.0
205.0	157.0	37.0
245.0	95.0	32.0
315.0	64.0	27.0
105.6	153.8	12.0
118.1	182.1	19.2
135.6	160.8	16.6
160.5	161.4	15.7
186.9	159.4	15.3
350.0	53.4176	1.23414
400.0	29.8023	0.925629
450.0	17.2249	0.705242
500.0	12.6064	0.603814
550.0	9.03364	0.511454
600.0	7.37796	0.462346
650.0	7.31987	0.460527
700.0	7.90081	0.478405
750.0	7.34891	0.461437
800.0	8.19128	0.487095
850.0	8.56889	0.498164
900.0	7.31987	0.460527
950.0	6.39036	0.430364
1000.0	6.18703	0.423477
