#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Mashnik's calculation on pi+Fe x-sections
# Hadron kinetic energy (KE) in MeV, x-section in millibarns
#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
#KE      Abs
0.00     0.
50.00    209.02
100.00   332.5
150.00   304.58
200.00   208.88
250.00   155.35
300.00   136.78
350.00   123.37
400.00   119.24
450.00   117.95
500.00   116.3
550.00   111.86
600.00   103.67
650.00   96.39
700.00   93.2
750.00   92.49
800.00   92.69
850.00   89.58
900.00   86.09
950.00   82.16
1000.00  80.31
