## pi+ -> ho-165
## File generated by MakeTextFiles.cxx
## KE    abs_xs     
0        412.5         
50       1210          
100      830.097       
150      760.394       
200      521.476       
250      387.836       
300      341.476       
350      307.997       
400      297.687       
450      294.466       
500      290.347       
550      279.262       
600      258.816       
650      240.641       
700      232.677       
750      230.904       
800      231.404       
850      223.639       
900      214.926       
950      205.115       
1000     200.497       
