## pi+ -> ta-181
## File generated by MakeTextFiles.cxx
## KE    abs_xs     
0        452.5         
50       1327.33       
100      897.76        
150      822.375       
200      563.982       
250      419.45        
300      369.31        
350      333.103       
400      321.952       
450      318.469       
500      314.014       
550      302.025       
600      279.912       
650      260.256       
700      251.643       
750      249.726       
800      250.266       
850      241.869       
900      232.446       
950      221.835       
1000     216.839       
