## pi+ -> ti-48
## File generated by MakeTextFiles.cxx
## KE    abs_xs     
0        120           
50       352           
100      291.817       
150      267.313       
200      183.322       
250      136.342       
300      120.044       
350      108.275       
400      104.65        
450      103.518       
500      102.07        
550      98.1733       
600      90.9854       
650      84.5961       
700      81.7964       
750      81.1733       
800      81.3488       
850      78.6193       
900      75.5564       
950      72.1072       
1000     70.4836       
