## pi+ -> he-4
## File generated by MakeTextFiles.cxx
## KE    abs_xs     
0        10            
50       29.3333       
100      35.5962       
150      32.6072       
200      22.3619       
250      16.6312       
300      14.6431       
350      13.2075       
400      12.7654       
450      12.6273       
500      12.4506       
550      11.9753       
600      11.0985       
650      10.3191       
700      9.97763       
750      9.90162       
800      9.92303       
850      9.59009       
900      9.21646       
950      8.79573       
1000     8.59768       
