## pi+ -> be-9
## File generated by MakeTextFiles.cxx
## KE    abs_xs     
0        22.5          
50       66            
100      70.7269       
150      64.7879       
200      44.4314       
250      33.0449       
300      29.0948       
350      26.2423       
400      25.3638       
450      25.0894       
500      24.7385       
550      23.794        
600      22.0519       
650      20.5033       
700      19.8248       
750      19.6738       
800      19.7163       
850      19.0548       
900      18.3124       
950      17.4765       
1000     17.0829       
