Author  A       KE      ERR     XS      Interpolation   Diff    Percent
B       9       100     7       45      21.9            -23.1   -51.3333%
B       58      100     15      104     81.7            -22.3   -21.4423%
B       16      50      3       21      15.4            -5.6    -26.6667%
B       16      100     10      66      35.2            -30.8   -46.6667%
L       2       70.     1.0     4.8     9.07            +4.27   +88.9583%
L       2       118.    1.6     18.1    12.9            -5.2    -28.7293%
L       2       162.    3.1     35.3    13.8            -21.5   -60.9065%
L       2       239.    2.3     26.6    14.3            -12.3   -46.2406%
L       2       330.    1.5     14.8    9.36            -5.44   -36.7568%
L       3       70.     0.6     2.7     13.3            +10.6   +392.593%
L       3       118.    1.2     13.3    18.9            +5.6    +42.1053%
L       3       162.    2.0     24.1    20.3            -3.8    -15.7676%
L       3       239.    2.0     24.1    21.8            -2.3    -9.54357%
L       3       330.    1.4     15.9    12.9            -3      -18.8679%
L       4       70.     1.2     5.0     17.5            +12.5   +250%
L       4       118.    2.2     18.0    24.9            +6.9    +38.3333%
L       4       162.    3.7     34.2    26.7            -7.5    -21.9298%
L       4       239.    2.9     33.1    29.0            -4.1    -12.3867%
L       4       330.    3.1     34.7    16.5            -18.2   -52.4496%
