## pi+ -> sn-120
## File generated by MakeTextFiles.cxx
## KE    cex_xs     
0        12.5594       
50       45.214        
100      322.451       
150      367.328       
200      334.086       
250      305.83        
300      289.209       
350      277.574       
400      136.294       
450      0             
500      0             
550      0             
600      0             
650      0             
700      0             
750      0             
800      0             
850      0             
900      0             
950      0             
1000     0             
