## pi+ -> ta-181
## File generated by MakeTextFiles.cxx
## KE    cex_xs     
0        14.8037       
50       53.2932       
100      424.094       
150      483.117       
200      439.396       
250      402.233       
300      380.373       
350      365.071       
400      179.256       
450      0             
500      0             
550      0             
600      0             
650      0             
700      0             
750      0             
800      0             
850      0             
900      0             
950      0             
1000     0             
