## pi+ -> he-4
## File generated by MakeTextFiles.cxx
## KE    cex_xs     
70.      5.0           
118.     18.0          
162.     34.2          
239.     33.1          
330.     34.7          
0        3.22197       
50       11.5991       
100      33.3977       
150      38.0458       
200      34.6028       
250      31.6762       
300      29.9546       
350      28.7496       
400      14.1165       
450      0             
500      0             
550      0             
600      0             
650      0             
700      0             
750      0             
800      0             
850      0             
900      0             
950      0             
1000     0             
