## pi+ -> ni-58
## File generated by MakeTextFiles.cxx
## KE    cex_xs     
100.     104.          
0        9.39007       
50       33.8042       
100      198.592       
150      226.231       
200      205.758       
250      188.355       
300      178.119       
350      170.953       
400      83.9409       
450      0             
500      0             
550      0             
600      0             
650      0             
700      0             
750      0             
800      0             
850      0             
900      0             
950      0             
1000     0             
