## pi+ -> be-9
## File generated by MakeTextFiles.cxx
## KE    cex_xs     
100.     45.           
0        4.45651       
50       16.0434       
100      57.3462       
150      65.3274       
200      59.4154       
250      54.3902       
300      51.4342       
350      49.365        
400      24.2391       
450      0             
500      0             
550      0             
600      0             
650      0             
700      0             
750      0             
800      0             
850      0             
900      0             
950      0             
1000     0             
