## pi+ -> sn-120
## File generated by MakeTextFiles.cxx
## KE    inelas_xs  
67       203           
85       278           
100      364           
0        50.2377       
50       115.547       
100      233.844       
150      211.87        
200      157.669       
250      130.609       
300      115.534       
350      109.534       
400      108.287       
450      109.318       
500      111.063       
550      106.791       
600      95.6882       
650      83.804        
700      76.9395       
750      75.5101       
800      76.5073       
850      76.8398       
900      74.6956       
950      71.3049       
1000     68.5957       
