## pi+ -> o-16
## File generated by MakeTextFiles.cxx
## KE    inelas_xs  
0        22.4391       
50       51.6099       
100      61.0311       
150      55.2963       
200      41.1501       
250      34.0879       
300      30.1533       
350      28.5873       
400      28.262        
450      28.5309       
500      28.9864       
550      27.8715       
600      24.9738       
650      21.8721       
700      20.0805       
750      19.7075       
800      19.9677       
850      20.0545       
900      19.4949       
950      18.61         
1000     17.9029       
