## pi+ -> h-1
## File generated by MakeTextFiles.cxx
## KE    inelas_xs  
0        7.40214       
50       17.0249       
100      9.6118        
150      8.70862       
200      6.48074       
250      5.3685        
300      4.74885       
350      4.50222       
400      4.45098       
450      4.49334       
500      4.56507       
550      4.38949       
600      3.93312       
650      3.44464       
700      3.16249       
750      3.10373       
800      3.14472       
850      3.15839       
900      3.07025       
950      2.93088       
1000     2.81952       
