## pi+ -> d-2
## File generated by MakeTextFiles.cxx
## KE    inelas_xs  
0        9.76719       
50       22.4645       
100      15.2578       
150      13.8241       
200      10.2875       
250      8.52197       
300      7.53833       
350      7.14683       
400      7.06549       
450      7.13273       
500      7.2466        
550      6.96789       
600      6.24344       
650      5.46803       
700      5.02013       
750      4.92687       
800      4.99194       
850      5.01363       
900      4.87373       
950      4.65249       
1000     4.47572       
