## pi+ -> he-4
## File generated by MakeTextFiles.cxx
## KE    inelas_xs  
0        12.8879       
50       29.6421       
100      24.2202       
150      21.9443       
200      16.3304       
250      13.5278       
300      11.9664       
350      11.3449       
400      11.2158       
450      11.3225       
500      11.5033       
550      11.0608       
600      9.91085       
650      8.67996       
700      7.96896       
750      7.82091       
800      7.9242        
850      7.95863       
900      7.73656       
950      7.38536       
1000     7.10476       
