## pi+ -> cu-63
## File generated by MakeTextFiles.cxx
## KE    inelas_xs  
0        38.8234       
50       89.2939       
100      152.183       
150      137.883       
200      102.609       
250      84.999        
300      75.1881       
350      71.2832       
400      70.4719       
450      71.1426       
500      72.2783       
550      69.4984       
600      62.2727       
650      54.5387       
700      50.0713       
750      49.141        
800      49.7901       
850      50.0064       
900      48.611        
950      46.4044       
1000     44.6412       
