## pi+ -> sn-120
## File generated by MakeTextFiles.cxx
## KE    pipro_xs   
0        0             
50       0             
100      0             
150      0             
200      0             
250      0             
300      0             
350      0             
400      136.294       
450      282.56        
500      305.83        
550      339.072       
600      377.301       
650      418.854       
700      463.731       
750      505.284       
800      538.527       
850      560.134       
900      575.093       
950      586.728       
1000     600.025       
