## pi+ -> ta-181
## File generated by MakeTextFiles.cxx
## KE    pipro_xs   
0        0             
50       0             
100      0             
150      0             
200      0             
250      0             
300      0             
350      0             
400      179.256       
450      371.629       
500      402.233       
550      445.954       
600      496.234       
650      550.885       
700      609.908       
750      664.56        
800      708.281       
850      736.699       
900      756.374       
950      771.676       
1000     789.165       
