## pi+ -> he3-3
## File generated by MakeTextFiles.cxx
## KE    pipro_xs   
0        0             
50       0             
100      0             
150      0             
200      0             
250      0             
300      0             
350      0             
400      11.653        
450      24.1586       
500      26.1481       
550      28.9903       
600      32.2588       
650      35.8115       
700      39.6485       
750      43.2012       
800      46.0434       
850      47.8908       
900      49.1698       
950      50.1645       
1000     51.3014       
