## pi+ -> be-9
## File generated by MakeTextFiles.cxx
## KE    pipro_xs   
0        0             
50       0             
100      0             
150      0             
200      0             
250      0             
300      0             
350      0             
400      24.2391       
450      50.2518       
500      54.3902       
550      60.3022       
600      67.101        
650      74.491        
700      82.4721       
750      89.8621       
800      95.7741       
850      99.6169       
900      102.277       
950      104.346       
1000     106.711       
