#KE	XS	sig
1.0	0.0	0.0
4.0	5.1	0.0
20.0	41.8	0.0
50.0	131.7	0.0
85.0	287.0	21.63
125.0	417.0	24.17
165.0	447.0	23.41
205.0	412.0	21.84
245.0	366.0	21.19
315.0	309.0	15.65
42.0	125.0	14.0
45.0	135.0	15.0
46.5	137.0	14.0
48.0	140.0	20.0
49.5	158.0	19.0
50.0	152.0	14.0
54.0	147.0	14.0
65.0	202.0	17.0
350.0	243.182	2.65777
400.0	209.488	2.46678
450.0	196.242	2.38752
500.0	191.914	2.36105
550.0	206.409	2.44859
600.0	215.152	2.49991
650.0	203.272	2.42991
700.0	195.051	2.38027
750.0	206.118	2.44686
800.0	227.323	2.56964
850.0	243.618	2.66015
900.0	248.934	2.68901
950.0	235.514	2.61553
1000.0	228.601	2.57686
