
   A   KE   TotXS
   1    0.  1.88672
   1   50.  94.3358
   1  100.  132.863
   1  150.  128.354
   1  200.  120.02
   1  250.  108.954
   1  300.  98.7077
   1  350.  87.983
   1  400.  83.2013
   1  450.  79.1711
   1  500.  75.8922
   1  550.  73.2281
   1  600.  71.1788
   1  650.  69.6077
   1  700.  68.5147
   1  750.  67.8111
   1  800.  67.4491
   1  850.  67.3876
   1  900.  67.5857
   1  950.  68.0092
   1 1000.  68.583

   A   KE   TotXS
   7    0.  6.90452
   7   50.  345.226
   7  100.  486.216
   7  150.  469.717
   7  200.  439.22
   7  250.  398.722
   7  300.  361.225
   7  350.  321.978
   7  400.  304.479
   7  450.  289.73
   7  500.  277.731
   7  550.  267.981
   7  600.  260.482
   7  650.  254.732
   7  700.  250.733
   7  750.  248.158
   7  800.  246.833
   7  850.  246.608
   7  900.  247.333
   7  950.  248.883
   7 1000.  250.983

   A   KE   TotXS
  14    0.  10.9605
  14   50.  548.025
  14  100.  771.838
  14  150.  745.647
  14  200.  697.234
  14  250.  632.947
  14  300.  573.422
  14  350.  511.12
  14  400.  483.341
  14  450.  459.928
  14  500.  440.88
  14  550.  425.404
  14  600.  413.499
  14  650.  404.372
  14  700.  398.022
  14  750.  393.935
  14  800.  391.832
  14  850.  391.475
  14  900.  392.626
  14  950.  395.086
  14 1000.  398.419

   A   KE   TotXS
  40    0.  22.0699
  40   50.  1103.49
  40  100.  1554.16
  40  150.  1501.42
  40  200.  1403.94
  40  250.  1274.49
  40  300.  1154.63
  40  350.  1029.18
  40  400.  973.248
  40  450.  926.104
  40  500.  887.75
  40  550.  856.586
  40  600.  832.615
  40  650.  814.237
  40  700.  801.452
  40  750.  793.221
  40  800.  788.986
  40  850.  788.267
  40  900.  790.585
  40  950.  795.539
  40 1000.  802.251

   A   KE   TotXS
  63    0.  29.8763
  63   50.  1493.82
  63  100.  2103.89
  63  150.  2032.5
  63  200.  1900.53
  63  250.  1725.3
  63  300.  1563.04
  63  350.  1393.22
  63  400.  1317.5
  63  450.  1253.68
  63  500.  1201.76
  63  550.  1159.57
  63  600.  1127.12
  63  650.  1102.24
  63  700.  1084.94
  63  750.  1073.8
  63  800.  1068.06
  63  850.  1067.09
  63  900.  1070.23
  63  950.  1076.93
  63 1000.  1086.02

   A   KE   TotXS
  93    0.  38.7342
  93   50.  1936.71
  93  100.  2727.66
  93  150.  2635.1
  93  200.  2464.01
  93  250.  2236.82
  93  300.  2026.46
  93  350.  1806.29
  93  400.  1708.12
  93  450.  1625.38
  93  500.  1558.06
  93  550.  1503.37
  93  600.  1461.3
  93  650.  1429.04
  93  700.  1406.6
  93  750.  1392.16
  93  800.  1384.73
  93  850.  1383.46
  93  900.  1387.53
  93  950.  1396.23
  93 1000.  1408.01

   A   KE   TotXS
 120    0.  45.9089
 120   50.  2295.44
 120  100.  3232.9
 120  150.  3123.2
 120  200.  2920.42
 120  250.  2651.15
 120  300.  2401.82
 120  350.  2140.86
 120  400.  2024.51
 120  450.  1926.45
 120  500.  1846.66
 120  550.  1781.84
 120  600.  1731.97
 120  650.  1693.74
 120  700.  1667.15
 120  750.  1650.03
 120  800.  1641.22
 120  850.  1639.72
 120  900.  1644.54
 120  950.  1654.85
 120 1000.  1668.81

   A   KE   TotXS
 208    0.  66.246
 208   50.  3312.3
 208  100.  4665.04
 208  150.  4506.74
 208  200.  4214.13
 208  250.  3825.57
 208  300.  3465.8
 208  350.  3089.24
 208  400.  2921.35
 208  450.  2779.84
 208  500.  2664.71
 208  550.  2571.17
 208  600.  2499.21
 208  650.  2444.05
 208  700.  2405.67
 208  750.  2380.97
 208  800.  2368.26
 208  850.  2366.1
 208  900.  2373.05
 208  950.  2387.93
 208 1000.  2408.07

   A   KE   TotXS
 209    0.  66.4581
 209   50.  3322.91
 209  100.  4679.98
 209  150.  4521.18
 209  200.  4227.62
 209  250.  3837.83
 209  300.  3476.9
 209  350.  3099.13
 209  400.  2930.7
 209  450.  2788.74
 209  500.  2673.24
 209  550.  2579.4
 209  600.  2507.22
 209  650.  2451.88
 209  700.  2413.38
 209  750.  2388.6
 209  800.  2375.84
 209  850.  2373.68
 209  900.  2380.66
 209  950.  2395.57
 209 1000.  2415.79
