## pi+ -> ho-165
## File generated by MakeTextFiles.cxx
## KE    tot_xs     
0        483.828       
50       1392.6        
100      1517.97       
150      1476.59       
200      1129.54       
250      927.503       
300      841.949       
350      786.664       
400      768.646       
450      779.031       
500      805.844       
550      830.582       
600      843.677       
650      862.188       
700      901.228       
750      949.069       
800      991.907       
850      1011.27       
900      1018.4        
950      1018.79       
1000     1027.26       
