## pi+ -> ta-181
## File generated by MakeTextFiles.cxx
## KE    tot_xs     
0        526.518       
50       1516.82       
100      1629.41       
150      1584.15       
200      1210.75       
250      993.463       
300      901.636       
350      842.234       
400      822.885       
450      833.874       
500      862.319       
550      888.434       
600      901.997       
650      921.362       
700      962.743       
750      1013.6        
800      1059.17       
850      1079.63       
900      1087.06       
950      1087.29       
1000     1096.22       
