## pi+ -> d-2
## File generated by MakeTextFiles.cxx
## KE    tot_xs     
0        17.209        
50       45.9217       
100      56.0909       
150      55.9232       
200      44.5206       
250      37.7248       
300      34.5511       
350      32.6022       
400      31.9496       
450      32.5908       
500      34.1247       
550      35.7507       
600      37.033        
650      38.5355       
700      40.8258       
750      43.4015       
800      45.6475       
850      46.8939       
900      47.5223       
950      47.8262       
1000     48.4069       
