## pi+ -> he-4
## File generated by MakeTextFiles.cxx
## KE    tot_xs     
51.0     81.2          
58.0     94.1          
61.0     100.3         
65.0     109.0         
75.0     133.3         
85.0     159.9         
95.0     187.4         
105.0    214.2         
110.0    227.0         
146.0    293.4         
189.0    300.8         
225.0    264.5         
262.0    215.3         
0        26.1099       
50       70.5746       
100      93.2141       
150      92.5973       
200      73.2951       
250      61.8351       
300      56.5641       
350      53.302        
400      52.2142       
450      53.2158       
500      55.63         
550      58.1553       
600      60.0881       
650      62.3817       
700      65.9773       
750      70.0571       
800      73.6248       
850      75.5643       
900      76.518        
950      76.9511       
1000     77.8497       
