## pi+ -> ni-58
## File generated by MakeTextFiles.cxx
## KE    tot_xs     
0        191.95        
50       545.526       
100      685.139       
150      670.483       
200      518.042       
250      428.83        
300      390.179       
350      365.503       
400      357.41        
450      362.858       
500      376.564       
550      389.833       
600      398.102       
650      408.875       
700      429           
750      452.98        
800      474.274       
850      484.582       
900      488.88        
950      489.909       
1000     494.524       
