## pi+ -> be-9
## File generated by MakeTextFiles.cxx
## KE    tot_xs     
89.      421.5         
115.     491.7         
128.     516.6         
156.     561.9         
187.     540.5         
229.     469.1         
259.     418.1         
289.     383.4         
337.     312.3         
409.     267.7         
482.     236.5         
567.     233.2         
696.     244.3         
855.     268.6         
0        44.7825       
50       123.043       
100      169.661       
150      167.795       
200      131.887       
250      110.663       
300      101.076       
350      95.0873       
400      93.1003       
450      94.7828       
500      98.8806       
550      103.088       
600      106.171       
650      109.898       
700      115.98        
750      122.965       
800      129.097       
850      132.337       
900      133.874       
950      134.504       
1000     135.994       
