#  Provided & maintained by Steve Dytman
#
# data used in GENIE for piA fractional fates for hA mode where A is any nucleus
# based on combination of Ashery, Carroll data + extrapolation and INC model results of Mashnik, et al. for piplus+56Fe
# assume piminusA and pizeroA same as piplusA for now, can be improved later
# KE is lab energy in MeV followed by various fractions
#
# KE     piA tot    piA elas    piA inel     piA cex     piA np      piA pp      piA npp     piA nnp     piA 2n2p    piA npi+pi0
#  fate=               2            3           1          4            5          6           7          8            9     
 0.    1.0000e+00  2.2502e-01  4.5402e-01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  3.2078e-01  0.0000e+00
 50.   1.0000e+00  2.2505e-01  4.1492e-01  3.9102e-02  4.4794e-02  1.6379e-02  2.5482e-02  1.0253e-02  2.2390e-01  0.0000e+00
 100.  1.0000e+00  3.4581e-01  3.6761e-01  4.9871e-02  4.7620e-02  1.4278e-02  2.8380e-02  2.4221e-02  1.2237e-01  0.0000e+00
 150.  1.0000e+00  3.6583e-01  2.7823e-01  5.8808e-02  3.7419e-02  1.1602e-02  2.6929e-02  2.3795e-02  1.9734e-01  0.0000e+00
 200.  1.0000e+00  3.9499e-01  2.0444e-01  5.7200e-02  2.6096e-02  8.0592e-03  1.9106e-02  1.6989e-02  2.7308e-01  0.0000e+00
 250.  1.0000e+00  4.1862e-01  2.6978e-01  5.7680e-02  2.2288e-02  6.4890e-03  1.5248e-02  1.3806e-02  1.9580e-01  0.0000e+00
 300.  1.0000e+00  4.2256e-01  2.8242e-01  6.0208e-02  2.2761e-02  6.0069e-03  1.4415e-02  1.3938e-02  1.7785e-01  0.0000e+00
 350.  1.0000e+00  3.7244e-01  3.1165e-01  6.4829e-02  2.4239e-02  5.7143e-03  1.3548e-02  1.5186e-02  1.9262e-01  0.0000e+00
 400.  1.0000e+00  3.3415e-01  3.2833e-01  2.0509e-02  2.5386e-02  5.2053e-03  1.2833e-02  1.6782e-02  2.0985e-01  4.6814e-02
 450.  1.0000e+00  2.9853e-01  3.3986e-01  1.8697e-02  2.6523e-02  4.8059e-03  1.2347e-02  1.8533e-02  2.2614e-01  5.4642e-02
 500.  1.0000e+00  2.6607e-01  3.4563e-01  1.8281e-02  2.6823e-02  4.4374e-03  1.2070e-02  2.0000e-02  2.4221e-01  6.4527e-02
 550.  1.0000e+00  2.3750e-01  3.4608e-01  2.0401e-02  2.5756e-02  4.1418e-03  1.1754e-02  2.0709e-02  2.5924e-01  7.4748e-02
 600.  1.0000e+00  2.1315e-01  3.4213e-01  1.9559e-02  2.3503e-02  3.8580e-03  1.1286e-02  2.0038e-02  2.7716e-01  8.9367e-02
 650.  1.0000e+00  1.8822e-01  3.4495e-01  1.4367e-02  2.1266e-02  3.6703e-03  1.1040e-02  1.9244e-02  2.8822e-01  1.0932e-01
 700.  1.0000e+00  1.6760e-01  3.4447e-01  1.1077e-02  2.0030e-02  3.7388e-03  1.1167e-02  1.9103e-02  2.9492e-01  1.2802e-01
 750.  1.0000e+00  1.5130e-01  3.4300e-01  1.1685e-02  1.9392e-02  3.8279e-03  1.1615e-02  1.9301e-02  2.9848e-01  1.4143e-01
 800.  1.0000e+00  1.3915e-01  3.4231e-01  1.4867e-02  1.9364e-02  3.8789e-03  1.1778e-02  1.9546e-02  2.9988e-01  1.4918e-01
 850.  1.0000e+00  1.3077e-01  3.4364e-01  1.7587e-02  1.8763e-02  3.8216e-03  1.1445e-02  1.9270e-02  3.0147e-01  1.5317e-01
 900.  1.0000e+00  1.2573e-01  3.4566e-01  1.6323e-02  1.8041e-02  3.6082e-03  1.0734e-02  1.8456e-02  3.0291e-01  1.5858e-01
 950.  1.0000e+00  1.2364e-01  3.4753e-01  1.1892e-02  1.7166e-02  3.3648e-03  1.0054e-02  1.7688e-02  3.0323e-01  1.6543e-01
1000.  1.0000e+00  1.2400e-01  3.4811e-01  8.4622e-03  1.6673e-02  3.1972e-03  9.6614e-03  1.7171e-02  3.0189e-01  1.7131e-01
