# Provided & maintained by Steve Dytman
#
# Data used in GENIE for pN and nN total cross sections
# use PWA results of Arndt, et al. for pp elas, np elas, pp reac, and np reac
# no nn results, assume nn same as np for now, can be improved later
# KE is CM energy in MeV, cross sections CM all mb
#
# KE     pp tot     pp elas   pp reac    pn tot      pn elas    pn reac    nn tot    nn elas    nn reac     
0.01    .7191e-02  .7191e-02  0.000e+00  .1808e+05  .1808e+05  0.000e+00  .1808e+05  .1808e+05  0.000e+00
0.2     .3548e+03  .3548e+03  0.000e+00  .9656e+04  .9656e+04  0.000e+00  .9656e+04  .9656e+04  0.000e+00
0.4     .8967e+03  .8967e+03  0.000e+00  .6887e+04  .6887e+04  0.000e+00  .6887e+04  .6887e+04  0.000e+00
0.6     .1251e+04  .1251e+04  0.000e+00  .5576e+04  .5576e+04  0.000e+00  .5576e+04  .5576e+04  0.000e+00
0.8     .1437e+04  .1437e+04  0.000e+00  .4789e+04  .4789e+04  0.000e+00  .4789e+04  .4789e+04  0.000e+00
1.0     .1513e+04  .1513e+04  0.000e+00  .4253e+04  .4253e+04  0.000e+00  .4253e+04  .4253e+04  0.000e+00
1.2     .1522e+04  .1522e+04  0.000e+00  .3857e+04  .3857e+04  0.000e+00  .3857e+04  .3857e+04  0.000e+00
1.4     .1493e+04  .1493e+04  0.000e+00  .3548e+04  .3548e+04  0.000e+00  .3548e+04  .3548e+04  0.000e+00
1.6     .1445e+04  .1445e+04  0.000e+00  .3298e+04  .3298e+04  0.000e+00  .3298e+04  .3298e+04  0.000e+00
1.8     .1387e+04  .1387e+04  0.000e+00  .3089e+04  .3089e+04  0.000e+00  .3089e+04  .3089e+04  0.000e+00
  2     .1325e+04  .1325e+04  0.000e+00  .2911e+04  .2911e+04  0.000e+00  .2911e+04  .2911e+04  0.000e+00
  3     .1042e+04  .1042e+04  0.000e+00  .2291e+04  .2291e+04  0.000e+00  .2291e+04  .2291e+04  0.000e+00
  4     .8367e+03  .8367e+03  0.000e+00  .1906e+04  .1906e+04  0.000e+00  .1906e+04  .1906e+04  0.000e+00
  5     .6906e+03  .6906e+03  0.000e+00  .1635e+04  .1635e+04  0.000e+00  .1635e+04  .1635e+04  0.000e+00
  6     .5838e+03  .5838e+03  0.000e+00  .1431e+04  .1431e+04  0.000e+00  .1431e+04  .1431e+04  0.000e+00
  7     .5031e+03  .5031e+03  0.000e+00  .1271e+04  .1271e+04  0.000e+00  .1271e+04  .1271e+04  0.000e+00
  8     .4404e+03  .4404e+03  0.000e+00  .1142e+04  .1142e+04  0.000e+00  .1142e+04  .1142e+04  0.000e+00
  9     .3903e+03  .3903e+03  0.000e+00  .1035e+04  .1035e+04  0.000e+00  .1035e+04  .1035e+04  0.000e+00
  10    .3496e+03  .3496e+03  0.000e+00  .9455e+03  .9455e+03  0.000e+00  .9455e+03  .9455e+03  0.000e+00
  11    .3160e+03  .3160e+03  0.000e+00  .8689e+03  .8689e+03  0.000e+00  .8689e+03  .8689e+03  0.000e+00
  12    .2877e+03  .2877e+03  0.000e+00  .8027e+03  .8027e+03  0.000e+00  .8027e+03  .8027e+03  0.000e+00
  13    .2637e+03  .2637e+03  0.000e+00  .7450e+03  .7450e+03  0.000e+00  .7450e+03  .7450e+03  0.000e+00
  14    .2431e+03  .2431e+03  0.000e+00  .6942e+03  .6942e+03  0.000e+00  .6942e+03  .6942e+03  0.000e+00
  15    2.252e+02  2.252e+02  0.000e+00  6.492e+02  6.492e+02  0.000e+00  6.492e+02  6.492e+02  0.000e+00
  30    1.030e+02  1.030e+02  0.000e+00  3.095e+02  3.095e+02  0.000e+00  3.095e+02  3.095e+02  0.000e+00
  45    6.588e+01  6.588e+01  0.000e+00  1.914e+02  1.914e+02  0.000e+00  1.914e+02  1.914e+02  0.000e+00
  60    4.901e+01  4.901e+01  0.000e+00  1.351e+02  1.351e+02  0.000e+00  1.351e+02  1.351e+02  0.000e+00
