# 
# The total cross section data for the four Pion Photoproduction reactions
# (pi0_p, pi+_n, pi-_p, pi0_n) was taken from the CNS DAC Services
# (http://gwdac.phys.gwu.edu/) on 4/28/2009. gamN_tot is the total
# cross section summed over final state and averaged over p and n targets. 
#
# KE is photon energy (MeV) and cross section units are mb
#
# KE    pi0_p tot   pi+_n tot   pi-_p tot   pi0_n tot    fs_p tot    fs_n tot    gamN_tot
   0.  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 135.  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 150.  4.8130E-04  0.0000E+00  3.4050E-02  3.6310E-04  4.8130E-04  3.4413E-02  1.7447E-02
 165.  3.6260E-03  7.4130E-02  9.6040E-02  3.0220E-03  7.7756E-02  9.9062E-02  8.8409E-02
 180.  8.9440E-03  9.2550E-02  1.2220E-01  7.7760E-03  1.0149E-01  1.2998E-01  1.1574E-01
 195.  1.7090E-02  1.0300E-01  1.4070E-01  1.5250E-02  1.2009E-01  1.5595E-01  1.3802E-01
 210.  2.9420E-02  1.1260E-01  1.5680E-01  2.6680E-02  1.4202E-01  1.8348E-01  1.6275E-01
 225.  4.8000E-02  1.2400E-01  1.7350E-01  4.4000E-02  1.7200E-01  2.1750E-01  1.9475E-01
 240.  7.5580E-02  1.3890E-01  1.9290E-01  6.9900E-02  2.1448E-01  2.6280E-01  2.3864E-01
 255.  1.1510E-01  1.5860E-01  2.1640E-01  1.0750E-01  2.7370E-01  3.2390E-01  2.9880E-01
 270.  1.6780E-01  1.8300E-01  2.4340E-01  1.5830E-01  3.5080E-01  4.0170E-01  3.7625E-01
 285.  2.2850E-01  2.0910E-01  2.6950E-01  2.1810E-01  4.3760E-01  4.8760E-01  4.6260E-01
 300.  2.8170E-01  2.2850E-01  2.8520E-01  2.7270E-01  5.1020E-01  5.5790E-01  5.3405E-01
 315.  3.0810E-01  2.3470E-01  2.8250E-01  3.0320E-01  5.4280E-01  5.8570E-01  5.6425E-01
 330.  3.0100E-01  2.2330E-01  2.6080E-01  3.0180E-01  5.2430E-01  5.6260E-01  5.4345E-01
 345.  2.7080E-01  2.0010E-01  2.2960E-01  2.7730E-01  4.7090E-01  5.0690E-01  4.8890E-01
 360.  2.3250E-01  1.7420E-01  1.9860E-01  2.4350E-01  4.0670E-01  4.4210E-01  4.2440E-01
 375.  1.9530E-01  1.5130E-01  1.7260E-01  2.0970E-01  3.4660E-01  3.8230E-01  3.6445E-01
 390.  1.6300E-01  1.3310E-01  1.5240E-01  1.7970E-01  2.9610E-01  3.3210E-01  3.1410E-01
 405.  1.3620E-01  1.1930E-01  1.3720E-01  1.5440E-01  2.5550E-01  2.9160E-01  2.7355E-01
 420.  1.1440E-01  1.0900E-01  1.2590E-01  1.3350E-01  2.2340E-01  2.5940E-01  2.4140E-01
 435.  9.6700E-02  1.0150E-01  1.1750E-01  1.1640E-01  1.9820E-01  2.3390E-01  2.1605E-01
 450.  8.2380E-02  9.6150E-02  1.1120E-01  1.0220E-01  1.7853E-01  2.1340E-01  1.9597E-01
 465.  7.0760E-02  9.2330E-02  1.0640E-01  9.0380E-02  1.6309E-01  1.9678E-01  1.7994E-01
 480.  6.1310E-02  8.9680E-02  1.0270E-01  8.0500E-02  1.5099E-01  1.8320E-01  1.6709E-01
 495.  5.3600E-02  8.7860E-02  9.9740E-02  7.2180E-02  1.4146E-01  1.7192E-01  1.5669E-01
 510.  4.7290E-02  8.6610E-02  9.7420E-02  6.5120E-02  1.3390E-01  1.6254E-01  1.4822E-01
 525.  4.2100E-02  8.5740E-02  9.5600E-02  5.9080E-02  1.2784E-01  1.5468E-01  1.4126E-01
 540.  3.7830E-02  8.5140E-02  9.4260E-02  5.3900E-02  1.2297E-01  1.4816E-01  1.3556E-01
 555.  3.4310E-02  8.4800E-02  9.3410E-02  4.9430E-02  1.1911E-01  1.4284E-01  1.3097E-01
 570.  3.1450E-02  8.4760E-02  9.3050E-02  4.5580E-02  1.1621E-01  1.3863E-01  1.2742E-01
 585.  2.9170E-02  8.5110E-02  9.3170E-02  4.2270E-02  1.1428E-01  1.3544E-01  1.2486E-01
 600.  2.7460E-02  8.5940E-02  9.3740E-02  3.9460E-02  1.1340E-01  1.3320E-01  1.2330E-01
 615.  2.6300E-02  8.7350E-02  9.4730E-02  3.7130E-02  1.1365E-01  1.3186E-01  1.2275E-01
 630.  2.5700E-02  8.9400E-02  9.6040E-02  3.5240E-02  1.1510E-01  1.3128E-01  1.2319E-01
