#
# The total cross section data for the two kaon elastic reactions
# was taken from the CNS DAC Services (http://gwdac.phys.gwu.edu/)
# on 6/4/2009.  K+p and K+n from GWU, adjust Abs to fit total reac xs data.
#
# KE    kpn_Elas  kpp_Elas  kp_Abs    kpN_tot
 0.0   2.49e-01  8.46e-18 4.00e+00 4.249e+00
 30.0  3.52e-01  9.16e-01 4.00e+00 5.270e+00
 60.0  3.17e-01  9.35e-01 4.00e+00 5.250e+00
 90.0  2.61e-01  9.41e-01 4.00e+00 5.200e+00
 120.0 2.29e-01  9.47e-01 4.00e+00 5.180e+00
 150.0 2.31e-01  9.56e-01 4.00e+00 5.190e+00
 180.0 2.66e-01  9.66e-01 4.00e+00 5.230e+00
 210.0 3.25e-01  9.77e-01 4.00e+00 5.300e+00
 240.0 4.00e-01  9.88e-01 4.00e+00 5.390e+00
 270.0 4.86e-01  9.98e-01 4.00e+00 5.480e+00
 300.0 5.77e-01  1.01e+00 4.00e+00 5.580e+00
 330.0 6.67e-01  1.01e+00 4.00e+00 5.680e+00
 360.0 7.54e-01  1.01e+00 4.00e+00 5.770e+00
 390.0 8.37e-01  1.02e+00 4.00e+00 5.850e+00
 420.0 9.16e-01  1.02e+00 4.00e+00 5.930e+00
 450.0 9.94e-01  1.02e+00 4.00e+00 6.020e+00
 480.0 1.08e+00  1.04e+00 4.00e+00 6.120e+00
 510.0 1.17e+00  1.08e+00 4.00e+00 6.250e+00
 540.0 1.28e+00  1.15e+00 4.00e+00 6.440e+00
 570.0 1.42e+00  1.26e+00 4.00e+00 6.670e+00
 600.0 1.58e+00  1.39e+00 4.00e+00 6.970e+00
 630.0 1.78e+00  1.56e+00 4.00e+00 7.340e+00
 660.0 2.00e+00  1.74e+00 4.00e+00 7.750e+00
 690.0 2.24e+00  1.94e+00 4.00e+00 8.180e+00
 720.0 2.44e+00  2.12e+00 4.00e+00 8.560e+00
 750.0 2.56e+00  2.29e+00 4.00e+00 8.850e+00
 780.0 2.63e+00  2.44e+00 4.00e+00 9.060e+00
 810.0 2.66e+00  2.56e+00 4.00e+00 9.220e+00
 840.0 2.67e+00  2.67e+00 4.00e+00 9.340e+00
 870.0 2.68e+00  2.76e+00 4.00e+00 9.440e+00
 900.0 2.69e+00  2.84e+00 4.00e+00 9.530e+00
 930.0 2.70e+00  2.91e+00 4.00e+00 9.620e+00
 960.0 2.73e+00  2.98e+00 4.00e+00 9.710e+00
 990.0 2.77e+00  3.04e+00 4.00e+00 9.810e+00
 1020.0 2.82e+00  3.10e+00 4.00e+00 9.920e+00
 1050.0 2.88e+00  3.16e+00 4.00e+00 1.004e+01
 1080.0 2.96e+00  3.22e+00 4.00e+00 1.018e+01
 1110.0 3.05e+00  3.28e+00 4.00e+00 1.033e+01
 1140.0 3.15e+00  3.34e+00 4.00e+00 1.049e+01
 1170.0 3.26e+00  3.40e+00 4.00e+00 1.066e+01
 1200.0 3.39e+00  3.46e+00 4.00e+00 1.085e+01
 1230.0 3.53e+00  3.53e+00 4.00e+00 1.105e+01
 1260.0 3.68e+00  3.59e+00 4.00e+00 1.127e+01
 1290.0 3.85e+00  3.65e+00 4.00e+00 1.150e+01
 1320.0 4.03e+00  3.71e+00 4.00e+00 1.174e+01
 1350.0 4.22e+00  3.77e+00 4.00e+00 1.200e+01
 1380.0 4.43e+00  3.84e+00 4.00e+00 1.227e+01
 1410.0 4.65e+00  3.90e+00 4.00e+00 1.255e+01
 1440.0 4.89e+00  3.96e+00 4.00e+00 1.285e+01
 1470.0 5.14e+00  4.02e+00 4.00e+00 1.316e+01
 1500.0 5.41e+00  4.08e+00 4.00e+00 1.349e+01
 1530.0 5.69e+00  4.14e+00 4.00e+00 1.383e+01
 1560.0 5.98e+00  4.19e+00 4.00e+00 1.420e+01
 1590.0 6.28e+00  4.25e+00 4.00e+00 1.450e+01
 1620.0 6.58e+00  4.31e+00 4.00e+00 1.490e+01
 1650.0 6.89e+00  4.37e+00 4.00e+00 1.530e+01
 1680.0 7.20e+00  4.42e+00 4.00e+00 1.560e+01
 1710.0 7.51e+00  4.48e+00 4.00e+00 1.600e+01
 1740.0 7.82e+00  4.53e+00 4.00e+00 1.630e+01
 1770.0 8.12e+00  4.59e+00 4.00e+00 1.670e+01
 1800.0 8.43e+00  4.64e+00 4.00e+00 1.710e+01
