# Provided & maintained by Steve Dytman
#
# Data used in GENIE for piN total cross sections where N is either p or n
# use PWA results of Arndt, et al. for pi+p elas, pi-p elas, pi-p cex, and pi_d->pp
# pi+N and pi-N are identical because of isospin relations
# pi0N calculated from isospin relns for elas and cex, avg of pi+ and pi- for others
# KE is CM energy in MeV, cross sections CM all mb
#
# KE     pi0n tot   pi0n cex  pi0n elas  pi0n reac   pi0p tot   pi0p cex  pi0p elas  pi0p reac   pi0d abs   
   0    0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  15    1.266e+01  4.592e+00  4.233e+00  6.640e-03  8.424e+00  4.592e+00  0.000e+00  6.640e-03  3.825e+00
  30    1.503e+01  5.092e+00  5.397e+00  1.483e-02  1.052e+01  5.092e+00  8.855e-01  1.483e-02  4.523e+00
  45    1.935e+01  6.211e+00  7.534e+00  2.492e-02  1.439e+01  6.211e+00  2.577e+00  2.492e-02  5.580e+00
  60    2.584e+01  8.025e+00  1.091e+01  3.748e-02  2.028e+01  8.025e+00  5.352e+00  3.748e-02  6.867e+00
  75    3.513e+01  1.075e+01  1.600e+01  5.330e-02  2.885e+01  1.075e+01  9.719e+00  5.330e-02  8.327e+00
  90    4.804e+01  1.469e+01  2.343e+01  7.320e-02  4.093e+01  1.469e+01  1.633e+01  7.320e-02  9.839e+00
 105    6.539e+01  2.015e+01  3.397e+01  9.800e-02  5.750e+01  2.015e+01  2.608e+01  9.800e-02  1.117e+01
 120    8.752e+01  2.730e+01  4.807e+01  1.273e-01  7.907e+01  2.730e+01  3.962e+01  1.273e-01  1.202e+01
 135    1.130e+02  3.559e+01  6.505e+01  1.583e-01  1.046e+02  3.559e+01  5.670e+01  1.583e-01  1.219e+01
 150    1.367e+02  4.330e+01  8.151e+01  1.844e-01  1.294e+02  4.330e+01  7.419e+01  1.844e-01  1.171e+01
 165    1.510e+02  4.795e+01  9.210e+01  1.979e-01  1.453e+02  4.795e+01  8.641e+01  1.979e-01  1.073e+01
 180    1.508e+02  4.800e+01  9.312e+01  2.366e-01  1.467e+02  4.800e+01  8.905e+01  2.366e-01  9.412e+00
 195    1.385e+02  4.425e+01  8.604e+01  2.979e-01  1.357e+02  4.425e+01  8.318e+01  2.979e-01  7.939e+00
 210    1.208e+02  3.876e+01  7.514e+01  3.543e-01  1.187e+02  3.876e+01  7.303e+01  3.543e-01  6.509e+00
 225    1.028e+02  3.317e+01  6.390e+01  4.136e-01  1.011e+02  3.317e+01  6.223e+01  4.136e-01  5.265e+00
 240    8.700e+01  2.827e+01  5.400e+01  4.845e-01  8.556e+01  2.827e+01  5.255e+01  4.845e-01  4.253e+00
 255    7.413e+01  2.428e+01  4.581e+01  5.744e-01  7.272e+01  2.428e+01  4.441e+01  5.744e-01  3.459e+00
 270    6.391e+01  2.113e+01  3.924e+01  6.904e-01  6.244e+01  2.113e+01  3.778e+01  6.904e-01  2.842e+00
 285    5.593e+01  1.870e+01  3.402e+01  8.396e-01  5.432e+01  1.870e+01  3.242e+01  8.396e-01  2.364e+00
 300    4.973e+01  1.684e+01  2.987e+01  1.029e+00  4.796e+01  1.684e+01  2.811e+01  1.029e+00  1.990e+00
 315    4.493e+01  1.543e+01  2.654e+01  1.266e+00  4.300e+01  1.543e+01  2.461e+01  1.266e+00  1.695e+00
 330    4.121e+01  1.436e+01  2.384e+01  1.552e+00  3.915e+01  1.436e+01  2.178e+01  1.552e+00  1.460e+00
 345    3.830e+01  1.353e+01  2.162e+01  1.885e+00  3.617e+01  1.353e+01  1.949e+01  1.885e+00  1.269e+00
 360    3.596e+01  1.285e+01  1.974e+01  2.256e+00  3.385e+01  1.285e+01  1.763e+01  2.256e+00  1.114e+00
 375    3.401e+01  1.226e+01  1.812e+01  2.647e+00  3.200e+01  1.226e+01  1.611e+01  2.647e+00  9.840e-01
 390    3.231e+01  1.171e+01  1.668e+01  3.039e+00  3.047e+01  1.171e+01  1.485e+01  3.039e+00  8.752e-01
 405    3.078e+01  1.118e+01  1.540e+01  3.420e+00  2.918e+01  1.118e+01  1.379e+01  3.420e+00  7.824e-01
 420    2.943e+01  1.069e+01  1.426e+01  3.785e+00  2.807e+01  1.069e+01  1.289e+01  3.785e+00  7.023e-01
 435    2.825e+01  1.024e+01  1.324e+01  4.141e+00  2.713e+01  1.024e+01  1.212e+01  4.141e+00  6.323e-01
 450    2.726e+01  9.850e+00  1.234e+01  4.497e+00  2.635e+01  9.850e+00  1.143e+01  4.497e+00  5.703e-01
 465    2.650e+01  9.543e+00  1.156e+01  4.873e+00  2.579e+01  9.543e+00  1.086e+01  4.873e+00  5.148e-01
