## pi+ -> c-12
## File generated by MakeTextFiles.cxx
## KE    abs_xs     
85       109.          
125      166.          
165      194.          
205      157.          
245      95.           
315      64.           
0        30            
50       88            
100      90.2331       
150      82.6562       
200      56.6854       
250      42.1585       
300      37.1191       
350      33.4799       
400      32.3591       
450      32.009        
500      31.5612       
550      30.3563       
600      28.1337       
650      26.1581       
700      25.2924       
750      25.0997       
800      25.154        
850      24.31         
900      23.3629       
950      22.2964       
1000     21.7943       
