## pi+ -> bi-209
## File generated by MakeTextFiles.cxx
## KE    abs_xs     
85       1659.         
125      1235.         
165      1585.         
205      950.          
245      854.          
315      618.          
0        522.5         
50       1532.67       
100      1014.03       
150      928.879       
200      637.023       
250      473.772       
300      417.139       
350      376.242       
400      363.647       
450      359.713       
500      354.681       
550      341.14        
600      316.163       
650      293.961       
700      284.233       
750      282.067       
800      282.677       
850      273.193       
900      262.549       
950      250.564       
1000     244.922       
