## pi+ -> he3-3
## File generated by MakeTextFiles.cxx
## KE    abs_xs     
0        7.5           
50       22            
100      27.9011       
150      25.5583       
200      17.5278       
250      13.0359       
300      11.4776       
350      10.3524       
400      10.0058       
450      9.89756       
500      9.7591        
550      9.38653       
600      8.69928       
650      8.08839       
700      7.82071       
750      7.76113       
800      7.77791       
850      7.51694       
900      7.22408       
950      6.89431       
1000     6.73907       
