## pi+ -> fe-56
## File generated by MakeTextFiles.cxx
## KE    abs_xs     
85       421.          
125      527.          
165      577.          
205      607.          
245      411.          
315      320.          
0        140           
50       410.667       
100      332.5         
150      304.58        
200      208.88        
250      155.35        
300      136.78        
350      123.37        
400      119.24        
450      117.95        
500      116.3         
550      111.86        
600      103.67        
650      96.39         
700      93.2          
750      92.49         
800      92.69         
850      89.58         
900      86.09         
950      82.16         
1000     80.31         
