## pi+ -> ni-58
## File generated by MakeTextFiles.cxx
## KE    abs_xs     
0        145           
50       425.333       
100      342.527       
150      313.765       
200      215.179       
250      160.035       
300      140.905       
350      127.09        
400      122.836       
450      121.507       
500      119.807       
550      115.233       
600      106.796       
650      99.2968       
700      96.0106       
750      95.2792       
800      95.4852       
850      92.2814       
900      88.6862       
950      84.6377       
1000     82.7319       
