## pi+ -> li-7
## File generated by MakeTextFiles.cxx
## KE    abs_xs     
85       44.           
125      114.          
165      124.          
205      59.           
245      42.           
0        17.5          
50       51.3333       
100      57.171        
150      52.3703       
200      35.9154       
250      26.7113       
300      23.5183       
350      21.2126       
400      20.5025       
450      20.2806       
500      19.9969       
550      19.2335       
600      17.8253       
650      16.5736       
700      16.0251       
750      15.903        
800      15.9374       
850      15.4026       
900      14.8025       
950      14.1268       
1000     13.8087       
