## pi+ -> nb-93
## File generated by MakeTextFiles.cxx
## KE    abs_xs     
85       805.          
125      925.          
165      880.          
205      685.          
245      440.          
315      390.          
0        232.5         
50       682           
100      510.867       
150      467.97        
200      320.932       
250      238.686       
300      210.155       
350      189.551       
400      183.205       
450      181.223       
500      178.688       
550      171.866       
600      159.283       
650      148.098       
700      143.196       
750      142.106       
800      142.413       
850      137.635       
900      132.272       
950      126.234       
1000     123.392       
