## pi+ -> sn-120
## File generated by MakeTextFiles.cxx
## KE    abs_frac   
0        0.826908      
50       0.845535      
100      0.532609      
150      0.500642      
200      0.447459      
250      0.404274      
300      0.391837      
350      0.377955      
400      0.373776      
450      0.36461       
500      0.347198      
550      0.323554      
600      0.294717      
650      0.267718      
700      0.247352      
750      0.232898      
800      0.223196      
850      0.211432      
900      0.201656      
950      0.192273      
1000     0.186329      
