## pi+ -> c-12
## File generated by MakeTextFiles.cxx
## KE    abs_frac   
85       0.234         
125      0.26          
165      0.29          
205      0.251         
0        0.545455      
50       0.578947      
100      0.429511      
150      0.398457      
200      0.348553      
250      0.309565      
300      0.298581      
350      0.286447      
400      0.28282       
450      0.274905      
500      0.260024      
550      0.240133      
600      0.216353      
650      0.194553      
700      0.178396      
750      0.167077      
800      0.159547      
850      0.150487      
900      0.143019      
950      0.1359        
1000     0.131415      
245      0.2064        
315      0.216         
