## pi+ -> ho-165
## File generated by MakeTextFiles.cxx
## KE    abs_frac   
0        0.852575      
50       0.868878      
100      0.546848      
150      0.514968      
200      0.46167       
250      0.418151      
300      0.405578      
350      0.391523      
400      0.387287      
450      0.37799       
500      0.360302      
550      0.336225      
600      0.306771      
650      0.279105      
700      0.258178      
750      0.243296      
800      0.233292      
850      0.221147      
900      0.211042      
950      0.201333      
1000     0.195176      
