## pi+ -> ta-181
## File generated by MakeTextFiles.cxx
## KE    abs_frac   
0        0.859419      
50       0.875076      
100      0.550973      
150      0.519128      
200      0.465813      
250      0.42221       
300      0.4096        
350      0.395499      
400      0.391247      
450      0.381915      
500      0.36415       
550      0.339953      
600      0.310325      
650      0.282469      
700      0.261381      
750      0.246376      
800      0.236285      
850      0.224029      
900      0.21383       
950      0.204025      
1000     0.197806      
