## pi+ -> h-1
## File generated by MakeTextFiles.cxx
## KE    abs_frac   
0        0.212717      
50       0.236405      
100      0.324947      
150      0.29751       
200      0.254892      
250      0.222797      
300      0.213938      
350      0.204243      
400      0.201362      
450      0.195107      
500      0.183453      
550      0.168089      
600      0.150035      
650      0.133776      
700      0.121903      
750      0.113672      
800      0.108236      
850      0.101737      
900      0.0964136     
950      0.091367      
1000     0.0882017     
