## pi+ -> bi-209
## File generated by MakeTextFiles.cxx
## KE    abs_frac   
165      0.398         
245      0.224         
0        0.651645      
50       0.420823      
350      0.318541      
400      0.342301      
450      0.36549       
500      0.387282      
550      0.407626      
600      0.425687      
650      0.435321      
700      0.442303      
750      0.446943      
800      0.449265      
850      0.449675      
900      0.448382      
950      0.445539      
1000     0.44185       
85       0.37525       
125      0.3333        
205      0.2717        
315      0.1947        
