## pi+ -> d-2
## File generated by MakeTextFiles.cxx
## KE    abs_frac   
0        0.290546      
50       0.319384      
100      0.35289       
150      0.324227      
200      0.279303      
250      0.245146      
300      0.235667      
350      0.225269      
400      0.222175      
450      0.215448      
500      0.202885      
550      0.186264      
600      0.166649      
650      0.148906      
700      0.1359        
750      0.126861      
800      0.12088       
850      0.113719      
900      0.107844      
950      0.102267      
1000     0.0987647     
