## pi+ -> he3-3
## File generated by MakeTextFiles.cxx
## KE    abs_frac   
0        0.343112      
50       0.374415      
100      0.369729      
150      0.340418      
200      0.294228      
250      0.258901      
300      0.249066      
350      0.238262      
400      0.235043      
450      0.22804       
500      0.214944      
550      0.197581      
600      0.177033      
650      0.158394      
700      0.144701      
750      0.135168      
800      0.128853      
850      0.121285      
900      0.115069      
950      0.109164      
1000     0.105454      
