## pi+ -> ti-48
## File generated by MakeTextFiles.cxx
## KE    abs_frac   
0        0.733821      
50       0.759553      
100      0.491423      
150      0.459498      
200      0.407123      
250      0.365256      
300      0.353308      
350      0.340028      
400      0.336041      
450      0.327317      
500      0.310815      
550      0.288554      
600      0.26163       
650      0.236645      
700      0.217939      
750      0.204736      
800      0.195908      
850      0.185239      
900      0.176403      
950      0.167948      
1000     0.162604      
