## pi+ -> he-4
## File generated by MakeTextFiles.cxx
## KE    abs_frac   
0        0.382997      
50       0.415636      
100      0.381876      
150      0.352139      
200      0.305094      
250      0.26896       
300      0.258877      
350      0.247787      
400      0.244481      
450      0.237284      
500      0.223811      
550      0.205919      
600      0.184704      
650      0.165419      
700      0.151228      
750      0.141337      
800      0.134778      
850      0.126913      
900      0.120448      
950      0.114303      
1000     0.110439      
