## pi+ -> fe-56
## File generated by MakeTextFiles.cxx
## KE    abs_frac   
85       0.222         
165      0.314         
205      0.347         
245      0.255         
315      0.229         
0        0.751493      
50       0.776037      
100      0.498359      
150      0.466396      
200      0.413837      
250      0.371713      
300      0.359673      
350      0.346282      
400      0.34226       
450      0.333456      
500      0.31679       
550      0.294283      
600      0.267026      
650      0.241694      
700      0.222705      
750      0.209291      
800      0.200316      
850      0.189463      
900      0.180471      
950      0.171861      
1000     0.166418      
125      0.26125       
