## pi+ -> ni-58
## File generated by MakeTextFiles.cxx
## KE    abs_frac   
0        0.755404      
50       0.779675      
100      0.499938      
150      0.467968      
200      0.41537       
250      0.373189      
300      0.361129      
350      0.347714      
400      0.343683      
450      0.334861      
500      0.318159      
550      0.295597      
600      0.268264      
650      0.242854      
700      0.223801      
750      0.210338      
800      0.201329      
850      0.190435      
900      0.181407      
950      0.172762      
1000     0.167296      
