## pi+ -> cu-63
## File generated by MakeTextFiles.cxx
## KE    abs_frac   
0        0.764454      
50       0.78808       
100      0.503659      
150      0.471676      
200      0.418989      
250      0.376678      
300      0.36457       
350      0.351097      
400      0.347049      
450      0.338185      
500      0.321396      
550      0.298705      
600      0.271196      
650      0.245601      
700      0.226397      
750      0.212821      
800      0.203733      
850      0.19274       
900      0.183628      
950      0.1749        
1000     0.16938       
