## pi+ -> li-7
## File generated by MakeTextFiles.cxx
## KE    abs_frac   
85       0.169         
165      0.251         
0        0.464789      
50       0.498764      
100      0.405918      
150      0.375447      
200      0.326859      
250      0.28922       
300      0.278667      
350      0.267035      
400      0.263562      
450      0.255994      
500      0.241795      
550      0.222878      
600      0.200357      
650      0.179798      
700      0.164617      
750      0.154008      
800      0.146963      
850      0.1385        
900      0.131534      
950      0.124904      
1000     0.120731      
125      0.2278        
205      0.2432        
245      0.214         
