## pi+ -> nb-93
## File generated by MakeTextFiles.cxx
## KE    abs_frac   
85       .313          
125      .359          
165      .352          
205      .285          
245      .196          
315      .195          
0        0.803914      
50       0.82449       
100      0.521172      
150      0.489173      
200      0.436145      
250      0.393274      
300      0.380959      
350      0.36723       
400      0.3631        
450      0.354048      
500      0.336874      
550      0.313595      
600      0.285271      
650      0.25882       
700      0.23891       
750      0.224802      
800      0.215342      
850      0.203883      
900      0.194371      
950      0.185248      
1000     0.179473      
