## pi+ -> be-9
## File generated by MakeTextFiles.cxx
## KE    abs_frac   
0        0.502428      
50       0.536397      
100      0.416872      
150      0.386113      
200      0.336889      
250      0.298607      
300      0.28785       
350      0.275981      
400      0.272435      
450      0.264704      
500      0.250185      
550      0.230812      
600      0.207703      
650      0.186566      
700      0.170933      
750      0.159995      
800      0.152725      
850      0.143987      
900      0.136789      
950      0.129932      
1000     0.125616      
