
   A   KE   XSec
   1    0.      0
   1   50.  3.68873
   1  100.  6.62605
   1  150.  7.54823
   1  200.  6.86514
   1  250.  6.2845
   1  300.  5.94295
   1  350.  5.70387
   1  400.  1.70638
   1  450.  1.48027
   1  500.  1.38737
   1  550.  1.49394
   1  600.  1.39215
   1  650.  1.00006
   1  700.  0.758922
   1  750.  0.792394
   1  800.  1.00279
   1  850.  1.18518
   1  900.  1.1032
   1  950.  0.808788
   1 1000.  0.58036

   A   KE   XSec
   7    0.      0
   7   50.  13.4991
   7  100.  24.2483
   7  150.  27.6231
   7  200.  25.1233
   7  250.  22.9984
   7  300.  21.7485
   7  350.  20.8736
   7  400.  6.24457
   7  450.  5.41712
   7  500.  5.07715
   7  550.  5.46712
   7  600.  5.09465
   7  650.  3.65975
   7  700.  2.77731
   7  750.  2.8998
   7  800.  3.66975
   7  850.  4.3372
   7  900.  4.03722
   7  950.  2.95979
   7 1000.  2.12385

   A   KE   XSec
  14    0.      0
  14   50.  21.4289
  14  100.  38.4927
  14  150.  43.8499
  14  200.  39.8816
  14  250.  36.5085
  14  300.  34.5244
  14  350.  33.1355
  14  400.  9.91286
  14  450.  8.59935
  14  500.  8.05966
  14  550.  8.67871
  14  600.  8.08743
  14  650.  5.80962
  14  700.  4.4088
  14  750.  4.60325
  14  800.  5.82549
  14  850.  6.88503
  14  900.  6.40884
  14  950.  4.69849
  14 1000.  3.37148

   A   KE   XSec
  40    0.      0
  40   50.  43.1489
  40  100.  77.5083
  40  150.  88.2955
  40  200.  80.305
  40  250.  73.513
  40  300.  69.5177
  40  350.  66.7211
  40  400.  19.9604
  40  450.  17.3155
  40  500.  16.2288
  40  550.  17.4753
  40  600.  16.2847
  40  650.  11.6982
  40  700.  8.8775
  40  750.  9.26903
  40  800.  11.7301
  40  850.  13.8636
  40  900.  12.9047
  40  950.  9.46081
  40 1000.  6.78877

   A   KE   XSec
  63    0.      0
  63   50.  58.4113
  63  100.  104.924
  63  150.  119.527
  63  200.  108.71
  63  250.  99.5156
  63  300.  94.1072
  63  350.  90.3212
  63  400.  27.0207
  63  450.  23.4403
  63  500.  21.9692
  63  550.  23.6566
  63  600.  22.0449
  63  650.  15.836
  63  700.  12.0176
  63  750.  12.5476
  63  800.  15.8792
  63  850.  18.7673
  63  900.  17.4693
  63  950.  12.8072
  63 1000.  9.19005

   A   KE   XSec
  93    0.      0
  93   50.  75.7294
  93  100.  136.032
  93  150.  154.965
  93  200.  140.941
  93  250.  129.02
  93  300.  122.008
  93  350.  117.1
  93  400.  35.0318
  93  450.  30.3899
  93  500.  28.4827
  93  550.  30.6704
  93  600.  28.5808
  93  650.  20.5311
  93  700.  15.5806
  93  750.  16.2678
  93  800.  20.5872
  93  850.  24.3316
  93  900.  22.6487
  93  950.  16.6044
  93 1000.  11.9148

   A   KE   XSec
 120    0.      0
 120   50.  89.7567
 120  100.  161.23
 120  150.  183.669
 120  200.  167.047
 120  250.  152.919
 120  300.  144.608
 120  350.  138.79
 120  400.  41.5208
 120  450.  36.019
 120  500.  33.7585
 120  550.  36.3515
 120  600.  33.8748
 120  650.  24.334
 120  700.  18.4666
 120  750.  19.2811
 120  800.  24.4005
 120  850.  28.8385
 120  900.  26.8439
 120  950.  19.68
 120 1000.  14.1217

   A   KE   XSec
 208    0.      0
 208   50.  129.518
 208  100.  232.652
 208  150.  265.032
 208  200.  241.047
 208  250.  220.66
 208  300.  208.668
 208  350.  200.273
 208  400.  59.914
 208  450.  51.975
 208  500.  48.7131
 208  550.  52.4547
 208  600.  48.881
 208  650.  35.1137
 208  700.  26.6471
 208  750.  27.8224
 208  800.  35.2097
 208  850.  41.6136
 208  900.  38.7354
 208  950.  28.398
 208 1000.  20.3775

   A   KE   XSec
 209    0.      0
 209   50.  129.933
 209  100.  233.398
 209  150.  265.881
 209  200.  241.819
 209  250.  221.367
 209  300.  209.336
 209  350.  200.914
 209  400.  60.1059
 209  450.  52.1415
 209  500.  48.8691
 209  550.  52.6227
 209  600.  49.0375
 209  650.  35.2262
 209  700.  26.7324
 209  750.  27.9115
 209  800.  35.3224
 209  850.  41.7469
 209  900.  38.8595
 209  950.  28.4889
 209 1000.  20.4427
