## pi+ -> c-12
## File generated by MakeTextFiles.cxx
## KE    cex_xs     
85       35.           
125      38.           
165      46.           
205      45.           
245      47.           
315      45.           
0        5             
50       18            
100      69.47         
150      79.1385       
200      71.9766       
250      65.8891       
300      62.3081       
350      59.8015       
400      29.3636       
450      0             
500      0             
550      0             
600      0             
650      0             
700      0             
750      0             
800      0             
850      0             
900      0             
950      0             
1000     0             
