## pi+ -> o-16
## File generated by MakeTextFiles.cxx
## KE    cex_xs     
100.     66.           
0        5.60978       
50       20.1952       
100      84.1569       
150      95.8695       
200      87.1935       
250      79.8189       
300      75.4809       
350      72.4443       
400      35.5715       
450      0             
500      0             
550      0             
600      0             
650      0             
700      0             
750      0             
800      0             
850      0             
900      0             
950      0             
1000     0             
