## pi+ -> bi-209
## File generated by MakeTextFiles.cxx
## KE    cex_xs     
85       141.          
125      165.          
165      196.          
205      260.          
245      276.          
315      304.          
350      200.906       
400      123.212       
450      106.885       
500      100.177       
550      107.872       
600      100.523       
650      72.2105       
700      54.7991       
750      57.216        
800      72.4078       
850      85.5774       
900      79.6585       
950      58.3998       
1000     41.9058       
0        15.6804       
50       56.4493       
